-------- Algorithme de Bellman --------
 CC    0     1     2     3     4     5   
 k=0  inf   inf   inf   inf   0(4)  inf  
 k=1  inf   inf   30(4) inf   0(4)  5(4) 
 k=2  inf   7(5)  13(5) inf   0(5)  5(4) 
 k=3  inf   7(5)  9(4)  inf   0(5)  5(4) 
 k=4  inf   7(5)  9(5)  inf   0(5)  5(4) 
 k=5  inf   7(5)  9(4)  inf   0(5)  5(4) 
 k=6  inf   7(5)  9(5)  inf   0(5)  5(4) 
 k=7  inf   7(5)  9(4)  inf   0(5)  5(4) 
 k=8  inf   7(5)  9(5)  inf   0(5)  5(4) 
 k=9  inf   7(5)  9(4)  inf   0(5)  5(4) 
 k=10  inf   7(5)  9(5)  inf   0(5)  5(4) 
 k=11  inf   7(5)  9(4)  inf   0(5)  5(4) 
 k=12  inf   7(5)  9(5)  inf   0(5)  5(4) 
 k=13  inf   7(5)  9(4)  inf   0(5)  5(4) 
 k=14  inf   7(5)  9(5)  inf   0(5)  5(4) 
 k=15  inf   7(5)  9(4)  inf   0(5)  5(4) 
 k=16  inf   7(5)  9(5)  inf   0(5)  5(4) 
 k=17  inf   7(5)  9(4)  inf   0(5)  5(4) 
 k=18  inf   7(5)  9(5)  inf   0(5)  5(4) 
 k=19  inf   7(5)  9(4)  inf   0(5)  5(4) 
 k=20  inf   7(5)  9(5)  inf   0(5)  5(4) 
