-------- Algorithme de Bellman --------
 CC    0     1     2     3     4     5   
 k=0  inf   inf   inf   inf   inf   0(5) 
 k=1  inf   2(5)  8(5)  inf   1(5)  0(5) 
 k=2  inf   2(5)  4(4)  inf   1(5)  0(4) 
 k=3  inf   2(5)  4(5)  inf   1(5)  0(4) 
 k=4  inf   2(5)  4(4)  inf   1(5)  0(4) 
 k=5  inf   2(5)  4(5)  inf   1(5)  0(4) 
 k=6  inf   2(5)  4(4)  inf   1(5)  0(4) 
 k=7  inf   2(5)  4(5)  inf   1(5)  0(4) 
 k=8  inf   2(5)  4(4)  inf   1(5)  0(4) 
 k=9  inf   2(5)  4(5)  inf   1(5)  0(4) 
 k=10  inf   2(5)  4(4)  inf   1(5)  0(4) 
 k=11  inf   2(5)  4(5)  inf   1(5)  0(4) 
 k=12  inf   2(5)  4(4)  inf   1(5)  0(4) 
 k=13  inf   2(5)  4(5)  inf   1(5)  0(4) 
 k=14  inf   2(5)  4(4)  inf   1(5)  0(4) 
 k=15  inf   2(5)  4(5)  inf   1(5)  0(4) 
 k=16  inf   2(5)  4(4)  inf   1(5)  0(4) 
 k=17  inf   2(5)  4(5)  inf   1(5)  0(4) 
 k=18  inf   2(5)  4(4)  inf   1(5)  0(4) 
 k=19  inf   2(5)  4(5)  inf   1(5)  0(4) 
 k=20  inf   2(5)  4(4)  inf   1(5)  0(4) 
