-------- Algorithme de Bellman --------
 CC    0     1     2     3     4     5     6     7   
 k=0  0(0)  inf   inf   inf   inf   inf   inf   inf  
 k=1  0(0)  5(0)  inf   inf   inf   inf   inf   inf  
 k=2  0(0)  5(0)  5(1)  inf   -5(1)  6(1)  inf   inf  
 k=3  -2(4)  5(0)  5(1)  inf   -5(5)  6(1)  6(5)  inf  
 k=4  -2(4)  3(0)  5(1)  inf   -5(5)  6(1)  6(5)  10(6)
 k=5  -2(4)  3(0)  3(1)  11(7) -7(1)  4(1)  6(5)  10(6)
 k=6  -4(4)  3(0)  3(1)  11(7) -7(1)  4(1)  4(5)  10(6)
 k=7  -4(4)  1(0)  3(1)  11(7) -7(5)  4(1)  4(5)  8(6) 
 k=8  -6(4)  1(0)  1(1)  9(7)  -9(1)  2(1)  4(5)  8(6) 
 k=9  -6(4)  -1(0)  1(1)  9(7)  -9(1)  2(1)  2(5)  8(6) 
 k=10  -6(4)  -1(0)  -1(1)  9(7)  -11(1)  0(1)  2(5)  6(6) 
 k=11  -8(4)  -1(0)  -1(1)  5(7)  -11(5)  0(1)  0(5)  4(6) 
 k=12  -8(4)  -3(0)  -1(1)  5(7)  -11(1)  0(1)  0(5)  4(6) 
 k=13  -8(4)  -3(0)  -3(1)  5(7)  -13(1)  -2(1)  0(5)  4(6) 
 k=14  -10(4)  -3(0)  -3(1)  3(7)  -13(5)  -2(1)  -2(5)  2(6) 
 k=15  -10(4)  -5(0)  -3(1)  3(7)  -13(1)  -2(1)  -2(5)  2(6) 
 k=16  -10(4)  -5(0)  -5(1)  3(7)  -15(1)  -4(1)  -2(5)  2(6) 
 k=17  -12(4)  -5(0)  -5(1)  3(7)  -15(5)  -4(1)  -4(5)  0(6) 
 k=18  -12(4)  -7(0)  -5(1)  1(7)  -15(1)  -4(1)  -4(5)  0(6) 
 k=19  -12(4)  -7(0)  -7(1)  1(7)  -17(1)  -6(1)  -4(5)  0(6) 
 k=20  -14(4)  -7(0)  -7(1)  1(7)  -17(5)  -6(1)  -6(5)  0(6) 
